ID,Nombre,NDVI_2015,NDVI_2024,Delta_NDVI,Delta_NDVI_relativo,Latitud,Longitud,Area_km2,Etiqueta,Prediccion
61862,Mbotaby,,0.3223050507169209,,,-27.47457277395239,-55.13955540458458,0.1325667994290771,0,
32633,Colonia Benítez,,0.3347428794482872,,,-27.317542425620715,-58.949842128731206,0.0748631406653425,0,
555587084,Boca de la Laguna Herradura,,-0.0048896954692325,,,-26.534976159259458,-58.22465637746592,2.195525185873103,0,
555587085,Boca del Rio Bermejo,,0.2076990333508991,,,-26.86313428294447,-58.37121727818902,3.580932048015958,0,
555587086,Arroyo Ramirez,,-0.0672182844665096,,,-26.65021792643122,-58.26090107757308,2.193587215693786,0,
555587087,Puerto Dalmacia,0.1542575329027211,0.2548377892766574,0.1005802563739363,0.6520281666721903,-25.858584563377388,-57.870461621829,1.6505121688537223,0,0.0
21224,Los Palmares,0.3038105221682801,0.2245729285562218,-0.0792375936120583,-0.2608125388368503,-24.17689854459117,-63.5054086321729,142.09344452135366,1,1.0
21225,Acambuco,0.6669466211201637,0.3615317417554217,-0.305414879364742,-0.4579300197244952,-22.15885787261639,-63.906960130909376,80.24259716684236,1,1.0
19633,Agua Dulce,0.2328174173358808,0.2837064487117254,0.0508890313758445,0.2185791422229722,-24.782773514392154,-58.95509166582752,79.46614072941034,0,0.0
19634,Laguna Hu,,0.2721085907674254,,,-25.60712935442029,-58.44228850461891,14.336181252250068,0,
300029,Corpus,,-0.063641730960935,,,-27.11877120935256,-55.53792063755084,8.361937721521914,0,
555790179,Tinfunque,0.5335397644120455,0.2314662781160109,-0.3020734862960346,-0.5661686465467406,-23.96514372259896,-60.16906504876047,1770.6915564601106,1,1.0
555587166,Fracciones 50 y 51 del Lote Fiscal 3,0.6716696138519679,0.3712534300376867,-0.3004161838142812,-0.4472677900246522,-22.36945072476522,-64.06366854663914,76.40876037960433,1,1.0
555587128,Copo,0.4805950581696082,0.2372205298941877,-0.2433745282754204,-0.5064024777997831,-25.89549029878717,-62.13403270169371,775.3344508336941,1,1.0
555587165,Lotes 1703-1704-4325-4326-4336-19866,0.6987116883607032,0.3670746097430658,-0.3316370786176373,-0.4746408055598934,-22.139636037054892,-63.8823161709593,254.17197147317765,1,1.0
146619,Cerro Azul,,0.4412025171129206,,,-27.660513384946054,-55.438333138008,3.853013751730425,0,
555587061,Paraje los Indios,,0.4012947734127403,,,-27.403469059665603,-55.203334170236815,0.2057815387841466,0,
30838,Amado Bonpland,,0.4360271738797078,,,-27.40854911195944,-55.16381506712382,0.0478497426328156,0,
11,Baritú,0.6827062753017662,0.370328013550483,-0.3123782617512831,-0.4575587965896568,-22.581797008373883,-64.64333998028732,683.7777227869577,1,1.0
16,El Rey,0.7100301575967739,0.369177528803322,-0.3408526287934518,-0.48005373454436,-24.70025894383025,-64.62722315414673,402.76678374816646,1,1.0
16846,Copo,0.5258463713144257,0.2536711298190359,-0.2721752414953898,-0.5175945986183191,-25.820836335877715,-61.88002793079288,1183.033064889406,1,1.0
555577536,El Impenetrable,0.6192421796537354,0.2667746499042137,-0.3524675297495216,-0.5691917335905843,-25.004640417431585,-61.10573280280558,1280.9052319874518,1,1.0
18,Chaco,,0.3226144067896925,,,-26.82657394379977,-59.65505669319759,149.57219476284234,0,
12,Río Pilcomayo,0.2871524274847978,0.2873684672588062,0.0002160397740084,0.0007523522468562,-25.06594082836212,-58.13751868726468,509.3880992400511,0,0.0
555635835,Iberá - Núcleo Cambyretá,,0.2559863722973564,,,-27.92182228002793,-56.92206328018165,235.18161793762783,0,
555635835,Iberá - Núcleo San Nicolás/San Alonso,,0.2762481894736316,,,-28.127333264904344,-57.35350176610075,1081.373776348503,0,
97545,Mburucuyá,0.0325132305776194,0.2849020671733879,0.2523888365957685,7.762650223060299,-28.01298876994864,-58.06921407249633,177.46243655450132,0,0.0
10,Calilegua,0.6455627108096185,0.3383119989494476,-0.3072507118601708,-0.4759424711424844,-23.66057821494152,-64.80322025894293,777.0192792008171,1,1.0
303896,Aguarague,0.5145154138521991,0.3334614920657477,-0.1810539217864514,-0.3518921239519199,-21.456778802924237,-63.59608187087143,1111.596548182304,1,1.0
555577538,Pizarro,0.4952132310176508,0.2608050541029182,-0.2344081769147326,-0.4733479685771514,-24.18550047808201,-64.06290632874182,78.91033763002783,1,1.0
555577540,El Nogalar de Los Toldos,0.4618210525707625,0.2575397611427361,-0.2042812914280264,-0.4423386294125805,-22.26581143419531,-64.75309610636386,32.82325804377377,1,1.0
555786040,Toldo Cue,0.3114245505197457,0.3005209140144107,-0.0109036365053349,-0.0350121288997209,-24.53221075056425,-59.21834763865549,9.824423263840462,0,0.0
16848,Pampa del Indio,0.1218347574272588,0.3185514811218452,0.1967167236945863,1.6146190779099765,-26.21165657253693,-60.05386106294373,223.2771129457553,0,0.0
4,Formosa,0.5100266968461535,0.2576841511845549,-0.2523425456615986,-0.4947634059589555,-24.27597040854503,-61.80086878217239,90.9468993964902,1,1.0
555626118,Garrapata,0.5578096772497714,0.2858725860521531,-0.2719370911976182,-0.487508736919694,-24.67757976650002,-64.78496468039835,43.62040627976823,1,1.0
555626116,Inversora Juramento,0.3236052905625163,0.2266237637499306,-0.0969815268125856,-0.2996907950546936,-25.11471051905266,-63.75152223152911,126.6541694899914,1,1.0
300032,Cuña Pirú,,0.4027242861630237,,,-27.122671977829604,-54.97469598122878,55.00710332584015,0,
300078,Puerto San Juan,,0.3622133759781357,,,-27.374235140613656,-55.64062267971418,2.6294943687645227,0,
555587058,El Paraíso,,0.446187718987212,,,-27.191374821200263,-55.156118014493885,4.388979301113914,0,
555587064,Ing. Barney,,0.4202174146857357,,,-27.47435984583431,-55.00184773330055,0.5010816814556994,0,
555587146,Tupa Poja - Lote 71 A,,0.4152688477559332,,,-27.620189702407338,-55.71742110000621,0.4465821464942052,0,
32487,El Bagual,,0.3205581206067684,,,-26.30916522275758,-58.80203767695359,32.30922282703408,0,
32484,Chachi,,0.4168582042472297,,,-27.478815076836604,-55.09270407864752,0.1781118382095126,0,
555587126,Bañado la Estrella,0.550299184014715,0.2716497752891696,-0.2786494087255453,-0.506359843553928,-23.8629268137485,-61.00634299050152,3736.674463391777,1,1.0
555636419,Laguna Brava,,0.2389976483871324,,,-27.494249519187616,-58.7183687096176,0.7991547012460429,0,
300019,Apipé Grande,,0.2034311196161177,,,-27.49700705243728,-56.88611248977382,47.15028060075014,0,
16890,Iberá,0.2355696904604562,0.231902479217272,-0.0036672112431841,-0.0155674154685014,-28.20143110414381,-57.28518802338245,11458.829111778314,0,0.0
555587072,Las Lancitas,0.6994541293488902,0.3523103531152037,-0.3471437762336864,-0.496306707856363,-24.11367194754793,-64.38811426523966,111.07768660128764,1,1.0
555587073,Laguna Pintascayo,0.6513409860539284,0.3688248153228086,-0.2825161707311198,-0.4337454217992794,-22.78538267675693,-64.49098442017346,158.49233733446098,1,1.0
555587129,Fuerte Esperanza,0.5262444584351109,0.2568804973074702,-0.2693639611276406,-0.511860898124507,-25.138410983682807,-61.68794686183326,105.12747885768344,1,1.0
555587161,Isla Del Cerrito,,0.3369550722325318,,,-27.291894859940715,-58.67972473128565,109.3005223780725,0,
